id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
227,Agnico Eagle Mines,N/A,N/A,N/A,N/A,N/A,Amaruq,N/A,Nunavut,65.415,-96.697,2019,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
228,Hammond River Holdings,N/A,N/A,N/A,N/A,N/A,Upham East,N/A,New Brunswick,45.48334,-65.63127,2020,2022,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
229,Graymont,N/A,N/A,N/A,N/A,N/A,Springhill,N/A,New Brunswick,46.0021,-65.3719,2021,2022,N/A,N/A,N/A,N/A,Limestone,Lime,N/A,N/A,N/A,N/A,N/A,N/A,True
230,Pure Gold Mining,N/A,N/A,N/A,N/A,N/A,PureGold,N/A,Ontario,50.96932,-93.93847,2021,2022,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
231,Canada Talc Industries,CanadaTalc United,Highwood Resources CanadaTalc Division,N/A,N/A,N/A,Henderson,Madoc (Havelock),Ontario,44.50205,-77.45374,1896,2010,N/A,N/A,N/A,N/A,Talc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
232,Bralorne Pioneer Mines,Bralorne Mines,Bralorne Can Fer Resources,N/A,N/A,N/A,Bralorne Division,Bralorne,British Columbia,50.777777,-122.82222,1900,2014,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,Copper,Tungsten,N/A,N/A,False
233,Dominion Steel and Coal,N/A,N/A,N/A,N/A,N/A,Old Sydney Collieries Division,N/A,Nova Scotia,46.28919087,-60.27036014,1901,1975,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
234,Phoenix Minerals and Newfoundland Barite,N/A,N/A,N/A,N/A,N/A,Collier Point,Trinity Bay,Newfoundland and Labrador,47.59125794,-53.69011331,1902,1980,1998,1998,N/A,N/A,Barite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
235,Coldstream Copper Mines,North Coldstream,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.60196,-90.58427,1902,1967,N/A,N/A,N/A,N/A,Iron ore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
236,Ottawa Silver Mines,Slocan Ottawa Mines,N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,49.784999,-117.39611,1903,1952,N/A,N/A,N/A,N/A,Silver,Lead,Zinc,Gold,Copper,N/A,N/A,N/A,False
237,Langis Silver and Cobalt Mining,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,47.58135,-79.58006,1908,1960,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
238,Bralorne Pioneer Mines,Pioneer Gold Mines of BC,N/A,N/A,N/A,N/A,Pioneer Division,N/A,British Columbia,50.761111,-122.78055,1908,1983,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,Copper,Antimony,Tungsten,N/A,False
239,Domtar Construction Materials,McKay Settlement,Georgia Pacific Canada,N/A,N/A,N/A,Gypsum Division,Windsor,Nova Scotia,45.781316,-64.24137092,1909,1962,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
240,Silver Miller Mines,N/A,N/A,N/A,N/A,N/A,N/A,Cobalt,Ontario,47.36615,-79.63109,1910,1967,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
241,Hollinger Consolidated Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.023,-82.22912,1910,1968,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
242,Brazeau Collieries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,52.45757816,-116.0846652,1910,1955,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
243,Royal Oak Mines,Goldcorp,Holt McDermott Macassa Mines and Lake Shore Tailings,Giant Yellowknife Mines,N/A,N/A,Pamour,Timmins,Ontario,48.52273,-81.11502,1911,2009,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
244,Cominco,Consolidated Mining and Smelting of Canada The,N/A,N/A,N/A,N/A,H.B.,Salmo,British Columbia,49.152222,-117.19972,1912,1978,N/A,N/A,N/A,N/A,Lead,Zinc,Silver,Cadmium,Copper,Gold,Talc,N/A,False
245,Teck Hughes Gold Mines The,Lamaque Mining,N/A,N/A,N/A,N/A,Teck-Hughes,N/A,Ontario,48.14722,-80.05266,1913,1968,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
246,Wright Hargreaves Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.15254,-80.03634,1913,1962,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
247,Algoma Ore Properties,N/A,N/A,N/A,N/A,N/A,George W. MacLeod,Wawa,Ontario,48.0256,-84.73799,1914,1998,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
248,Manalta Coal,N/A,N/A,N/A,N/A,N/A,Montgomery,Hanna,Alberta,51.47689546,-111.7076536,1914,1999,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
249,Trident Resources,N/A,N/A,N/A,N/A,N/A,N/A,Atlin,British Columbia,59.735833,-133.52166,1916,1988,N/A,N/A,N/A,N/A,Silver,Lead,Zinc,Gold,Copper,Cadmium,Molybdenum,Tin,False
250,Lake Shore Mines,Kinross Gold,Lac Minerals,N/A,N/A,N/A,Lake Shore Tailings,Kickland Lake,Ontario,48.11871,-80.0099,1918,1964,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
251,Saskatchewan Minerals,N/A,N/A,N/A,N/A,N/A,N/A,Bishopric,Saskatchewan,50.009697,-105.7794588,1921,1984,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
252,Queenston Gold Mines,N/A,N/A,N/A,N/A,N/A,McBean,Dobie,Ontario,48.12537,-79.81791,1927,1988,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
253,Selco Mining,N/A,N/A,N/A,N/A,N/A,N/A,Uchi Lake,Ontario,51.11175,-92.67899,1927,1979,N/A,N/A,N/A,N/A,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
254,Upper Canada Mines,N/A,N/A,N/A,N/A,N/A,N/A,Dobie,Ontario,48.14179,-79.8233,1928,1971,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
255,Ormiston Mining Smelting,N/A,N/A,N/A,N/A,N/A,Horseshoe Lake or Osmiston,Ormiston,Saskatchewan,49.719457,-105.3551453,1930,1999,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
256,Midwest Chemicals,Millar Western Industries,N/A,N/A,N/A,N/A,Whiteshore Lake,Palo,Saskatchewan,52.121963,-108.2868501,1934,2008,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
257,Consolidated Mining and Smelting of Canada The,Nerco Minerals,N/A,N/A,N/A,N/A,Con and Rycons,Yellowknife,Northwest Territories,62.43333333,-114.3666667,1938,2003,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
258,Mountain Minerals,Mountain Mineral,N/A,N/A,N/A,N/A,N/A,Parson/Invermere,British Columbia,51.025277,-116.65083,1944,1992,N/A,N/A,N/A,N/A,Barite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
259,New Ryan Lake Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,47.97179,-80.69617,1948,1964,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
260,Saskatchewan Minerals,Kam Kotia Mines,Dickenson Mines,N/A,N/A,N/A,N/A,Fox Valley,Saskatchewan,50.460916,-106.6624941,1948,2022,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
261,Cuprus Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manitoba,54.72055556,-101.7108333,1948,1954,N/A,N/A,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,False
262,Argonaut Mining The,Utah of the Americas,N/A,N/A,N/A,N/A,Argonault Division,N/A,British Columbia,49.862222,-125.54583,1951,1956,N/A,N/A,N/A,N/A,Iron,Limestone,Garnet,Magnetite,N/A,N/A,N/A,N/A,False
263,Flintkote Of Canada,Domtar,N/A,N/A,N/A,N/A,Flat Bay,St. Georges,Newfoundland and Labrador,48.38319658,-58.56058617,1952,2019,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
264,Canadian Dyno Mines,N/A,N/A,N/A,N/A,N/A,Dyno,N/A,Ontario,44.95006,-78.09776,1955,1960,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
265,Howe Sound,Anaconda,N/A,N/A,N/A,N/A,N/A,Britannia Beach,British Columbia,49.554722,-123.40083,1955,1963,N/A,N/A,N/A,N/A,Slate,Flagstone,Dimension Stone,Building Stone,N/A,N/A,N/A,N/A,False
266,Consolidated Nicholson Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Saskatchewan,59.457769,-108.4322283,1955,1959,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
267,Geco Mines,Noranda Mines,N/A,N/A,N/A,N/A,Geco,Manitouwadge,Ontario,49.15576,-85.79033,1957,1957,N/A,N/A,N/A,N/A,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
268,Coleman Collieries,N/A,N/A,N/A,N/A,N/A,N/A,Coleman,Alberta,49.80767402,-114.5248106,1957,1981,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
269,International Nickel of Canada The,Inco,N/A,N/A,N/A,N/A,Thompson,Thompson,Manitoba,55.71861111,-97.85388889,1957,1982,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,Gold,Silver,Platinum,N/A,N/A,False
270,Rio Algom Mines,Stanleigh Uranium Mines,Buckles Algoma Uranium Mines,N/A,N/A,N/A,Stanleigh,Elliot Lake,Ontario,46.413519,-82.63735,1958,1961,1983,1996,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
271,Taurus Resources,N/A,N/A,N/A,N/A,N/A,N/A,McDame Lake,British Columbia,59.274443,-129.68944,1960,1988,N/A,N/A,N/A,N/A,Gold,Silver,Zinc,Copper,N/A,N/A,N/A,N/A,False
272,Mt Washington Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,49.763333,-125.30222,1964,1966,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Arsenic,Molybdenum,Zinc,Lead,N/A,False
273,Granduc Mines,Newmont Mines,Canada Wide Mines,N/A,N/A,N/A,N/A,Stewart,British Columbia,56.211111,-130.34499,1964,1984,N/A,N/A,N/A,N/A,Copper,Silver,Gold,Lead,Zinc,Cobalt,N/A,N/A,False
274,Tundra Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Northwest Territories,64.0375,-111.1791667,1964,1968,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
275,Echo Bay Mines,Cominco,N/A,N/A,N/A,N/A,N/A,Port Radium,Northwest Territories,66.09583333,-117.9916667,1964,1974,N/A,N/A,N/A,N/A,Silver,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
276,Baskatong Quartz Products,N/A,N/A,N/A,N/A,N/A,N/A,Grand Remous,Quebec,46.78468893,-75.87219071,1965,1977,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
277,Noranda Mines,Noranda,N/A,N/A,N/A,N/A,Boss Mountain Division,Hendrix Lake,British Columbia,52.096666,-120.9075,1965,1983,N/A,N/A,N/A,N/A,Molybdenum,Copper,Zinc,Tungsten,Silver,Bismuth,Rhenium,N/A,False
278,CH Nichols,N/A,N/A,N/A,N/A,N/A,N/A,Minto,New Brunswick,46.07595292,-66.0748075,1966,1969,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
279,Big Nama Creek Mines,N/A,N/A,N/A,N/A,N/A,N/A,Manitouwadge,Ontario,49.16603,-85.84594,1967,1968,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
280,Maritimes Mining,First Maritime Mining,N/A,N/A,N/A,N/A,Gull Pond,Gull Pond,Newfoundland and Labrador,49.19843626,-56.15501636,1967,1971,N/A,N/A,N/A,N/A,Copper,Iron,Zinc,Lead,N/A,N/A,N/A,N/A,False
281,Cliffs of Canada,Dofasco,N/A,N/A,N/A,N/A,Shermans,Temagami,Ontario,47.06726,-79.84031,1968,1990,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
282,Alwinsal Potash of Canada,Potash of Saskatchewan,N/A,N/A,N/A,N/A,Lanigan Division,Lanigan,Saskatchewan,51.849207,-105.1962081,1968,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
283,Jameland Mines,N/A,N/A,N/A,N/A,N/A,N/A,Timmins,Ontario,48.57813,-81.58804,1969,1971,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
284,Cominco,N/A,N/A,N/A,N/A,N/A,Vanscoy,Vanscoy,Saskatchewan,52.004765,-107.0739183,1969,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
285,Alberta Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,Metiskow,Alberta,52.40542312,-110.6331424,1970,1991,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
286,Hudson Bay Mining and Smelting,Dickstone Copper Mines,N/A,N/A,N/A,N/A,N/A,Morton Lake-Herb Lake,Manitoba,54.855,-100.49,1970,1974,N/A,N/A,N/A,N/A,Copper,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,False
287,Venus Mines,N/A,N/A,N/A,N/A,N/A,Venus,Carcross,Yukon,60.025,-134.6347222,1970,1971,1980,1982,1980,1982,Silver,Gold,N/A,N/A,N/A,N/A,N/A,N/A,False
288,Kanichee Mining,N/A,N/A,N/A,N/A,N/A,Ajax or Kanichee,Temagami,Ontario,47.10385,-79.84555,1973,1976,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
289,Hope Bay Mines,N/A,N/A,N/A,N/A,N/A,Robert's Bay - Ida Bay Silvers,Melville Sound/ Cambridge Bay,Nunavut,68.15,-106.6666667,1973,1975,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
290,Sill Lake Silver Mine,N/A,N/A,N/A,N/A,N/A,N/A,Van Koughnet Twp.,Ontario,46.76779,-84.25805,1975,1985,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
291,Continental Lime,Graymont Western Canada,N/A,N/A,N/A,N/A,Marble Canyon or Pavilion Lake,Pavilion Lake,British Columbia,50.817777,-121.65444,1975,2000,2016,2022,N/A,N/A,Limestone,Aggregate,N/A,N/A,N/A,N/A,N/A,N/A,False
292,Smoky River Holdings,N/A,N/A,N/A,N/A,N/A,Smoky River,Grande Cache,Alberta,54.02862025,-119.2595334,1976,2000,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
293,Ulster Petroleums,Echo Bay Mines,Ulster Petroleums,N/A,N/A,N/A,Contact Lake,Port Radium,Northwest Territories,65.97916667,-117.7458333,1977,1977,N/A,N/A,N/A,N/A,Silver,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
294,Mountain Minerals,Highwood Resources,N/A,N/A,N/A,N/A,Moberly,Golden,British Columbia,51.371666,-116.96472,1980,2009,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
295,Mosquito Creek Gold Mining,N/A,N/A,N/A,N/A,N/A,N/A,Wells,British Columbia,53.108333,-121.59722,1980,1987,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,Tungsten,N/A,N/A,N/A,False
296,Klondike,Teck,N/A,N/A,N/A,N/A,Klondike Operations,Whitehorse,Yukon,60.73673403,-135.0834051,1980,1998,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
297,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,N/A,Trout Lake (Embury Lake),Flin Flon,Manitoba,54.81944444,-101.8111111,1981,2002,2007,2012,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,False
298,Scottie Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,Stewart,British Columbia,56.219721,-130.09527,1981,1984,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,Lead,N/A,N/A,N/A,False
299,Cominco,Cominco and Teck,N/A,N/A,N/A,N/A,Polaris,Little Cornwallis Island - Resolute Bay,Nunavut,75.39,-96.9,1981,2002,N/A,N/A,N/A,N/A,Zinc,Lead,N/A,N/A,N/A,N/A,N/A,N/A,False
300,Carolin Mines,N/A,N/A,N/A,N/A,N/A,N/A,Hope,British Columbia,49.508611,-121.28888,1982,1984,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,N/A,N/A,N/A,N/A,False
301,Echo Bay Mines,N/A,N/A,N/A,N/A,N/A,Lupin,Contwoyto Lake - Kugluktuk,Nunavut,65.75,-111.25,1982,2004,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
302,Teck,Teck Bullmoose Coal,Teck Billiton Copper Holdings And Nissho Iwai Coal Development,N/A,N/A,N/A,Bullmoose,Tumbler Ridge,British Columbia,55.118332,-121.49472,1983,2002,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
303,International Marble and Stone,N/A,N/A,N/A,N/A,N/A,N/A,Creston,British Columbia,49.09714107,-116.5130921,1985,2022,N/A,N/A,N/A,N/A,Limestone,Talc,N/A,N/A,N/A,N/A,N/A,N/A,True
304,Blackdome mining,Claimstaker Resources MCM Minerals And Petro Plus,N/A,N/A,N/A,N/A,Blackdome,Clinton,British Columbia,51.323888,-122.48999,1986,1990,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Lead,Zinc,Selenium,N/A,N/A,False
305,Sherritt Gordon Mines,LynnGold Resources,N/A,N/A,N/A,N/A,MacLellan,Lynn Lake,Manitoba,56.88527778,-100.9391667,1986,1989,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
306,Pioneer Metals,N/A,N/A,N/A,N/A,N/A,Puffy Lake,N/A,Manitoba,55.03472222,-100.9916667,1987,1989,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
307,Candorado Mines,N/A,N/A,N/A,N/A,N/A,Hedley,Hedley,British Columbia,49.346666,-120.07583,1988,1993,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
308,Cheni Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,Lawyers Mine,British Columbia,57.338333,-127.18027,1989,1992,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,Lead,N/A,N/A,N/A,False
309,Richmont Mines,N/A,N/A,N/A,N/A,N/A,Hammerdown,Baie Verte,Newfoundland and Labrador,49.55283141,-56.24667802,2000,2004,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
310,Western Canadian Coal,Walter Energy,Conuma Coal Resources,N/A,N/A,N/A,Dillon or Brule,Tumbler Ridge,British Columbia,55.386666,-121.81999,2004,2007,2014,2016,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
311,Duval of Canada,Potash of Saskatchewan Cory,Potash of Saskatchewan,N/A,N/A,N/A,Cory Division,Saskatoon,Saskatchewan,52.089095,-106.8669061,2005,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
312,Inco,N/A,N/A,N/A,N/A,N/A,Voisey's Bay,Voisey's Bay,Newfoundland and Labrador,56.33134427,-62.09705672,2005,2022,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,N/A,N/A,N/A,N/A,N/A,True
313,Tahera Diamond,N/A,N/A,N/A,N/A,N/A,Jericho Diamond,Kugluktuk,Nunavut,65.99722222,-111.475,2006,2008,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
314,Saskatchewan Power,Luscar,N/A,N/A,N/A,N/A,Poplar River,Coronach,Saskatchewan,49.089639,-105.4519726,2011,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
315,Burnt Hill Tungsten and Metallurgical,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New Brunswick,46.56722222,-66.81388889,1868,1956,N/A,N/A,N/A,N/A,Tungsten,Molybdenum,Tin,N/A,N/A,N/A,N/A,N/A,False
316,Canadian Salt The,N/A,N/A,N/A,N/A,N/A,N/A,Windsor,Ontario,42.28071,-83.08224,1893,2022,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
317,Miller Creek Concessions,Miller Creek Placers,N/A,N/A,N/A,N/A,N/A,Mayo,Yukon,63.59427221,-135.8975643,1895,1953,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
318,Vale Canada,N/A,N/A,N/A,N/A,N/A,Frood or Stobie,N/A,Ontario,46.5402,-80.9933,1900,2017,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,Platinum,Gold,Silver,Selenium,Tellurium,False
319,Brinco Mining,San Antonio Gold Mines,Harmony Gold,N/A,N/A,N/A,Rice Lake,Bissett,Manitoba,51.01777778,-95.66777778,1932,1968,1997,2015,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
320,Lamaque Gold Mines,Teck,Century Mining,White Tiger Gold,N/A,N/A,Lamarque,Bourlamaque,Quebec,48.1005,-77.7594,1935,1985,2007,2008,2010,2012,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
321,Teck Corona Operating,Homestake Canada and Teck,Barrick Gold,Ardel Exploration,Teck,N/A,David Bell,Marathon,Ontario,48.69583,-85.88293,1949,2014,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
322,Blue Note Mining,Selco,New Jersey Zinc,N/A,N/A,N/A,Restigouche,N/A,New Brunswick,47.5041,-66.5547,1954,1998,2007,2008,N/A,N/A,Zinc,Lead,Copper,Silver,N/A,N/A,N/A,N/A,False
323,Flintkote Of Canada,Galen Gypsum Mines,N/A,N/A,N/A,N/A,Coal Brook,Division No. 4 (Flat Bay St. Georges),Newfoundland and Labrador,48.37336915,-58.452258,1961,2009,2017,2022,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
324,Kinross Gold,Cross Lake Minerals,Barkerville Gold Mines,N/A,N/A,N/A,QR,Quesnel,British Columbia,52.6717,-121.791,1996,1998,2007,2009,2010,2011,Pumice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
325,Bell Asbestos Mines,Societe nationale de Iamiante,N/A,N/A,N/A,N/A,Bell Asbestos,Thetford Mines,Quebec,46.086168,-71.300829,1888,2008,N/A,N/A,N/A,N/A,Chrysotile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
326,Dominion Wabana Ore,Dominion Steel and Coal Dominion Wabana Ore Division,Dosco Industries,N/A,N/A,N/A,Wabanas Division,"Bell Island, Conception Bay, Avalon Peninsula in Newfoundland",Newfoundland and Labrador,47.64163614,-52.95309197,1895,1966,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
327,Consolidated Mining and Smelting of Canada The,Cominco,N/A,N/A,N/A,N/A,Bluebell,Riondel,British Columbia,49.7625,-116.86083,1895,1971,N/A,N/A,N/A,N/A,Silver,Zinc,Lead,Copper,Cadmium,Gold,N/A,N/A,False
328,Canadian Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,Hillsborough,New Brunswick,45.92,-64.67,1911,1980,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
329,Keymet Mines,N/A,N/A,N/A,N/A,N/A,Keymet,"Bathurst, Gloucester County",New Brunswick,47.80611111,-65.81083333,1913,1989,N/A,N/A,N/A,N/A,Zinc,Lead,Copper,Gold,Silver,N/A,N/A,N/A,False
330,Western Tungsten Copper Mines,N/A,N/A,N/A,N/A,N/A,Red Rose,N/A,British Columbia,55.136667,-127.601,1914,1954,N/A,N/A,N/A,N/A,Tungsten,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
331,Darius Gold Mine,OBrien Gold Mines,N/A,N/A,N/A,N/A,Darius O'Brien,Cadillac,Quebec,48.234096,-78.403513,1933,1956,1978,1981,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
332,Sullivan Consolidated Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,48.128947,-77.837575,1934,1968,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
333,Canadian Malartic Gold Mines,N/A,N/A,N/A,N/A,N/A,Canadian Malartic,N/A,Quebec,48.11333,-78.13167,1935,1965,2011,2022,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,True
334,Stadacona Mines,N/A,N/A,N/A,N/A,N/A,Stadacona,N/A,Quebec,48.20611111,-79.03055556,1936,1958,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
335,Hallnor Mines,N/A,N/A,N/A,N/A,N/A,Hallnor,Pamour,Ontario,48.51889,-81.1426,1936,1970,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
336,Normetal Mining,N/A,N/A,N/A,N/A,N/A,Abana (Normetal),Normetal,Quebec,49.00083,-79.36639,1937,1975,N/A,N/A,N/A,N/A,Zinc,Copper,Pyrite,Silver,Gold,N/A,N/A,N/A,False
337,Barnat Mines,N/A,N/A,N/A,N/A,N/A,Mine Barnat (Sladen),Malartic,Quebec,48.133513,-78.106684,1938,1970,1976,1979,2019,2022,Gold,Copper,Iron,Lead,Tellurium,Silver,N/A,N/A,True
338,Malartic GoldField,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,48.1120389,-78.13148984,1939,1965,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
